age,city,educ,exper,expersq,faminc,fatheduc,hours,husage,huseduc,hushrs,huswage,inlf,kidsge6,kidslt6,lwage,motheduc,mtr,nwifeinc,repwage,unem,wage
32,0,12,14,196,16310,7,1610,34,12,2708,4.0288,1,0,1,1.210153699,12,0.7215,10.91006,2.65,5,3.354
30,1,12,5,25,21800,7,1656,30,9,2310,8.4416,1,2,0,0.3285121,7,0.6615,19.49998,2.65,11,1.3889
35,0,12,15,225,21040,7,1980,40,12,3072,3.5807,1,3,1,1.514137745,12,0.6915,12.03991,4.04,5,4.5455
34,0,12,6,36,7300,7,456,53,10,1920,3.5417,1,3,0,0.09212332,7,0.7815,6.799996,3.25,5,1.0965
31,1,14,7,49,27300,14,1568,32,12,2000,10,1,2,1,1.524272203,12,0.6215,20.1000576,3.6,9.5,4.5918
54,1,12,33,1089,19495,7,2032,57,11,1040,6.7106,1,0,0,1.55648,14,0.6915,9.859054,4.7,7.5,4.7421
37,0,16,11,121,21152,7,1440,37,12,2670,3.4277,1,2,0,2.120259523,14,0.6915,9.152048,5.95,5,8.3333
54,0,12,35,1225,18900,3,1020,53,8,4120,2.5485,1,0,0,2.059634209,3,0.6915,10.90003777,9.98,5,7.8431
48,0,12,24,576,20405,7,1458,52,4,1995,4.2206,1,2,0,0.7543364,7,0.7515,17.305,0,3,2.1262
39,0,12,21,441,20425,7,1600,43,12,2100,5.7143,1,2,0,1.544899344,7,0.6915,12.925,4.15,5,4.6875
33,0,12,15,225,32300,3,1969,34,12,2450,9.7959,1,1,0,1.40192163,12,0.5815,24.29995346,4.3,5,4.063
42,0,11,14,196,28700,7,1960,47,14,2375,8,1,1,0,1.524272203,14,0.6215,19.70007133,4.58,5,4.5918
30,0,12,0,0,15500,16,240,33,16,2830,5.3004,1,2,1,0.7339532,16,0.7215,15.00000763,0,5,2.0833
43,1,12,14,196,16860,10,997,46,12,3317,4.3413,1,2,0,0.8183691,10,0.7215,14.6,3.5,7.5,2.2668
43,1,10,6,36,31431,7,1848,45,17,2024,10.87,1,1,0,1.302831173,7,0.5815,24.63091469,3.38,7.5,3.6797
35,1,11,9,81,19180,10,1224,38,12,1694,9.1499,1,3,0,0.29802838,16,0.7215,17.53102684,0,7.5,1.3472
43,1,12,20,400,18600,7,1400,45,12,2156,6.1224,1,2,0,1.167609572,10,0.6915,14.09998,4,7.5,3.2143
